objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error_train,cv_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,358,1.413489,8.05340871852525,7.6597912
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,384,1.29043,8.00535012514249,7.5301146
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,74,4.077223,7.80933753806664,7.408261
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,61,4.394269,7.81705651345571,7.3422098
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,41,6.397538,7.64876949601409,7.240503
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,33,4.751999,7.83387730766351,7.5087214
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,38,6.426995,7.62636089787998,7.2858888
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,52,6.244246,7.67494488185101,7.2078656
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,18,6.568584,7.58226989403441,7.2289272
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,38,6.160143,7.65642579787419,7.2328054
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,15,6.612888,7.63699765409598,7.2641196
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,15,6.626184,7.63087281516442,7.2735518
