objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error_train,cv_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,318,1.969768,7.40353973563173,7.1774678
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,271,2.500607,7.31480115594326,7.2312434
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,62,5.090974,7.16730495964569,7.0669638
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,59,5.233517,7.16697632273206,7.053134
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,59,6.351095,7.03958425789684,6.9032294
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,31,5.550465,7.152232752629,7.0344854
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,49,6.439706,7.01088500004018,6.8942918
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,50,6.417122,7.04603561540965,6.9378528
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,20,6.589557,6.98634489736646,6.924858
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,17,6.625602,6.92425720197537,7.0472656
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,13,6.677397,7.0419709036226,6.9570828
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,16,6.631768,7.02977263672817,6.9994498
