objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error_train,cv_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,327,4.436974,6.42031048115511,6.9873746
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,334,4.418341,6.41402132189271,6.9806006
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,81,6.483127,6.36427715124485,6.922003
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,79,6.488452,6.3575808043552,6.9271026
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,55,6.838609,6.33472100521576,6.9050892
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,36,6.549886,6.38440352363013,6.9257452
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,71,6.821451,6.33886557783728,6.9114906
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,51,6.840642,6.33011276266292,6.907195
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,28,6.838852,6.32210096140013,6.9240746
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,33,6.83366,6.34640025982679,6.9113796
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,22,6.854867,6.33079582149661,6.9091154
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,26,6.851476,6.33496624443007,6.9124538
