objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,451,5.0435,6.93259
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,449,5.042346,6.920058
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,95,6.482718,6.864448
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,115,6.460674,6.865732
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,249,6.593484,6.868306
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,52,6.481802,6.871938
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,185,6.613547,6.875361
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,269,6.591375,6.875152
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,137,6.592873,6.866252
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,90,6.617104,6.863832
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,93,6.615189,6.868746
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,98,6.610524,6.874142
