objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,412,5.130298,6.897087
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,406,5.137676,6.893952
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,96,6.476955,6.860348
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,105,6.45524,6.848208
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,178,6.605024,6.865765
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,53,6.468635,6.8605
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,176,6.605517,6.861115
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,255,6.581431,6.862856
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,105,6.597391,6.868179
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,57,6.626781,6.881786
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,115,6.592689,6.859321
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,110,6.592399,6.867216
