objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,451,5.066862,6.894576
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,409,5.135622,6.896716
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,134,6.425218,6.85932
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,99,6.466383,6.858763
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,244,6.583091,6.854348
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,64,6.442132,6.853622
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,143,6.613609,6.866101
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,148,6.613906,6.861528
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,52,6.633094,6.891304
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,99,6.600113,6.864988
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,60,6.623662,6.869028
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,92,6.602075,6.868469
