objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,532,4.971063,6.885164
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,431,5.090075,6.873158
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,154,6.397274,6.835559
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,135,6.416929,6.841365
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,196,6.597555,6.843511
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,59,6.461112,6.838924
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,154,6.612512,6.841622
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,160,6.610353,6.849675
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,74,6.617255,6.843665
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,121,6.592198,6.847282
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,60,6.625087,6.848325
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,109,6.59524,6.845661
