objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,441,5.083088,6.896847
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,422,5.10687,6.896663
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,116,6.443689,6.850997
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,129,6.428238,6.856738
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,227,6.588621,6.855052
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,75,6.424468,6.851829
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,194,6.598962,6.857932
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,181,6.600612,6.860909
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,122,6.586524,6.856606
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,68,6.621058,6.871075
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,184,6.554592,6.871015
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,92,6.604266,6.861753
