objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.001,gbtree,rmse,0.001,20,1,1,1,hist,4261,0.549785,7.483236
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,340,4.478034,7.171168
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,322,4.593439,7.181382
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,80,6.482255,7.113813
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,99,6.443051,7.109423
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,53,6.788237,7.110817
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,42,6.496339,7.124797
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,111,6.746243,7.097566
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,90,6.758748,7.103446
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,38,6.769123,7.114076
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,71,6.737425,7.119284
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,22,6.799315,7.109763
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,31,6.777842,7.110518
