objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,577,4.909189,6.873895
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,410,5.153162,6.878463
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,123,6.438556,6.844591
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,137,6.420923,6.838522
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,245,6.583892,6.844028
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,49,6.483335,6.853545
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,193,6.597978,6.847972
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,195,6.597524,6.845933
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,80,6.610563,6.849244
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,67,6.624553,6.850309
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,109,6.596572,6.84669
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,67,6.621409,6.849763
