objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,456,5.059186,6.898313
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,422,5.114166,6.897037
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,129,6.427604,6.867342
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,92,6.476139,6.856667
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,189,6.599452,6.858713
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,49,6.477372,6.85962
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,161,6.609232,6.867429
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,108,6.626344,6.876501
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,98,6.599726,6.867821
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,81,6.613167,6.879115
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,99,6.599822,6.865139
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,68,6.618875,6.871093
