objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,test_error
reg:linear,0.001,gbtree,rmse,0.001,20,1,1,1,hist,5142,7.433362
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,414,7.231405
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,69,7.201238
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.99,0.95,hist,72,7.200119
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.9,0.9,hist,72,7.196701
reg:linear,0.1,gbtree,rmse,0.1,5,25,0.9,0.9,hist,44,7.198436
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,40,7.198506
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,20,7.197226
reg:linear,0.2,gbtree,rmse,0.2,5,50,0.8,0.8,hist,19,7.225466
reg:linear,0.001,gbtree,rmse,0.001,20,1,1,1,hist,5157,0.334349,7.458271
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,313,4.720401,7.242912
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,363,4.533677,7.240162
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,72,6.584645,7.13726
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,92,6.513477,7.165199
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,44,6.85222,7.157994
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,39,6.586114,7.178733
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,46,6.848121,7.163721
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,48,6.846521,7.157669
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,29,6.842833,7.169707
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,50,6.811983,7.158864
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,25,6.848814,7.164127
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,20,6.859043,7.156534
