objective,gamma,booster,eval_metric,eta,max_depth,min_child_weight,subsample,colsample_bytree,tree_method,best_ntrees,train_error,test_error
reg:linear,0.001,gbtree,rmse,0.001,20,1,1,1,hist,4426,0.499762,7.355426
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.99,0.95,hist,334,4.516951,7.202641
reg:linear,0.01,gbtree,rmse,0.01,10,5,0.95,0.95,hist,344,4.515376,7.189463
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.95,hist,104,6.434452,7.113919
reg:linear,0.05,gbtree,rmse,0.05,5,10,0.95,0.9,hist,89,6.492948,7.106124
reg:linear,0.1,gbtree,rmse,0.1,2,25,0.9,0.9,hist,45,6.815323,7.091871
reg:linear,0.1,gbtree,rmse,0.1,5,20,0.9,0.9,hist,35,6.573225,7.117234
reg:linear,0.1,gbtree,rmse,0.1,2,30,0.9,0.9,hist,42,6.820897,7.092238
reg:linear,0.1,gbtree,rmse,0.1,2,27,0.9,0.9,hist,44,6.815042,7.094256
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.8,0.8,hist,39,6.785559,7.083974
reg:linear,0.2,gbtree,rmse,0.2,2,50,0.7,0.7,hist,23,6.816477,7.085822
reg:linear,0.2,gbtree,rmse,0.2,2,35,0.8,0.8,hist,29,6.80261,7.087399
reg:linear,0.2,gbtree,rmse,0.2,2,40,0.8,0.8,hist,25,6.810112,7.085055
